Unnamed: 0,name,original_style,brewery,abv,ave rating,min ibu,max ibu,astringency,body,alcohol,bitter,sweet,sour,salty,fruits,hoppy,spices,malty,state,country,retired,style,milk,old,dark,wild,pale,red,imperial
65,Cockeyed Cooper,Barleywine - American,Uinta Brewing Company,11.1,3.96,60,100,12,62,66,38,52,20,0,32,42,22,103,UT,US,f,Barleywine,0,0,0,0,0,0,0
66,Solstice D'Hiver,Barleywine - American,Brasserie Dieu du Ciel!,10.2,3.94,60,100,23,54,61,70,125,33,0,54,62,22,119,QC,CA,f,Barleywine,0,0,0,0,0,0,0
67,Anniversary Barley Wine Ale,Barleywine - American,Uinta Brewing Company,10.4,3.87,60,100,7,47,39,64,97,27,1,46,67,2,110,UT,US,f,Barleywine,0,0,0,0,0,0,0
68,Barleywine Style Ale,Barleywine - American,Green Flash Brewing Co.,10.9,3.9,60,100,12,44,35,70,74,39,1,45,81,17,99,CA,US,f,Barleywine,0,0,0,0,0,0,0
69,Lower De Boom Barleywine,Barleywine - American,21st Amendment Brewery,11.5,3.8,60,100,11,60,47,67,110,73,2,120,98,6,100,CA,US,f,Barleywine,0,0,0,0,0,0,0
70,Killer Penguin Barleywine,Barleywine - American,Boulder Beer / Wilderness Pub,10.0,3.59,60,100,8,34,33,29,70,28,0,41,35,4,67,CO,US,f,Barleywine,0,0,0,0,0,0,0
71,Great,Barleywine - American,Alpine Beer Company,14.0,4.56,60,100,8,47,36,14,81,14,0,35,10,10,76,CA,US,f,Barleywine,0,0,0,0,0,0,0
73,Sisyphus,Barleywine - American,Real Ale Brewing Company,11.5,3.97,60,100,11,68,37,80,109,67,0,83,96,5,87,TX,US,f,Barleywine,0,0,0,0,0,0,0
74,Gratitude,Barleywine - American,East End Brewing Company,11.5,4.29,60,100,10,69,31,66,124,43,1,60,77,10,108,PA,US,f,Barleywine,0,0,0,0,0,0,0
75,Barleywine Ale,Barleywine - American,The Duck-Rabbit Craft Brewery,11.0,3.86,60,100,14,57,43,86,86,36,1,61,96,16,95,NC,US,f,Barleywine,0,0,0,0,0,0,0
76,The Vermonster,Barleywine - American,Rock Art Brewery,10.0,3.9,60,100,34,41,29,86,50,28,0,34,114,9,83,VT,US,f,Barleywine,0,0,0,0,0,0,0
77,Smuttynose Barleywine Style Ale (Big Beer Series),Barleywine - American,Smuttynose Brewing Company,11.6,3.99,60,100,11,75,43,89,89,46,0,54,106,17,97,NH,US,f,Barleywine,0,0,0,0,0,0,0
78,Freudian Slip,Barleywine - American,Evil Twin Brewing,10.3,3.81,60,100,9,42,40,84,113,34,0,73,93,11,80,NY,US,f,Barleywine,0,0,0,0,0,0,0
79,John Barleycorn Barleywine Ale,Barleywine - American,Mad River Brewing Company,11.4,3.78,60,100,12,71,61,57,98,48,1,59,59,14,89,CA,US,f,Barleywine,0,0,0,0,0,0,0
80,Barrel Aged Behemoth,Barleywine - American,3 Floyds Brewing Co.,12.5,4.38,60,100,13,58,66,38,86,36,0,61,42,35,92,IN,US,f,Barleywine,0,0,0,0,0,0,0
81,Old Ruffian - Barrel-Aged,Barleywine - American,Great Divide Brewing Company,12.7,4.19,60,100,18,67,94,43,134,34,0,57,53,32,132,CO,US,f,Barleywine,0,0,0,0,0,0,0
82,# 100,Barleywine - American,Nøgne Ø - Det Kompromissløse Bryggeri A/S,10.0,4.07,60,100,18,70,43,85,92,26,1,53,95,15,113,,NO,f,Barleywine,0,0,0,0,0,0,0
83,Old Numbskull - Bourbon Barrel-Aged,Barleywine - American,AleSmith Brewing Company,11.0,4.31,60,100,9,57,67,26,113,20,0,36,23,25,132,CA,US,f,Barleywine,0,0,0,0,0,0,0
85,Big Worse,Barleywine - American,Mikkeller ApS,12.0,3.83,60,100,14,50,58,67,137,71,0,110,79,12,114,,DK,f,Barleywine,0,0,0,0,0,0,0
